,,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MHOXDV,,,,,,,,
campaign,participants as % population,Success?,MAX of participants,ID,Year of max involvement,First year of campaign,Last year of camapaign,Location,Pop in that year,greater than 3.5% of pop involved?,Problem?
Singing Revolution,128.85%,TRUE,"2,000,000",202,1987,1987,1991,Estonia,"1,552,221",TRUE,chill
Aruba Pro-Independence Campaign,99.39%,FALSE,"60,000",254,1977,1977,1977,Aruba,"60,366",TRUE,PROBLEM
Latvia pro-dem movement,74.99%,TRUE,"2,000,000",127,1989,1989,1991,Latvia,"2,666,955",TRUE,chill
Uruguay Anti-Military,66.84%,TRUE,"2,000,001",239,1984,1984,1985,Uruguay,"2,992,246",TRUE,chill
Czech Anti-Soviet Occupation,35.52%,FALSE,"3,500,000",64,1967,1967,1968,Czechoslovakia,"9,852,899",TRUE,PROBLEM
Argentina pro-democracy movement,33.76%,TRUE,"9,000,000",33,1977,1977,1983,Argentina,"26,661,398",TRUE,chill
Zambia Anti-occupation,32.57%,TRUE,"1,000,000",249,1960,1960,1963,Zambia,"3,070,776",TRUE,chill
Anti-Noriega,32.35%,FALSE,"750,000",24,1987,1987,1989,Panama,"2,318,264",TRUE,PROBLEM
Cedar Revolution,31.92%,TRUE,"1,500,000",53,2005,2005,2005,Lebanon,"4,698,763",TRUE,chill
Timorese Independence Campaign,31.79%,TRUE,"200,000",230,1975,1975,1999,East Timor,"629,227",TRUE,chill
Solidarity,28.11%,TRUE,"10,000,000",206,1980,1980,1989,Poland,"35,574,150",TRUE,chill
Anjouan Separatist Movement,26.90%,FALSE,"135,021",367,1997,1997,2000,Comoros,"501,953",TRUE,PROBLEM
Bolivian Anti-Junta,19.56%,TRUE,"1,000,000",43,1976,1976,1982,Bolivia,"5,113,456",TRUE,chill
Velvet Revolution,19.30%,TRUE,"2,000,001",240,1989,1989,1989,Czechoslovakia,"10,361,068",TRUE,chill
South Africa Second Defiance Campaign,14.01%,TRUE,"4,000,000",211,1980,1980,1994,South Africa,"28,556,769",TRUE,chill
Sajudis/ Lithuanian pro-democracy movement/,13.68%,TRUE,"500,000",190,1988,1988,1991,Lithuania,"3,655,049",TRUE,chill
Sacred Union,12.53%,FALSE,"4,500,000",189,1991,1991,1995,Democratic Republic of Congo,"35,908,244",TRUE,PROBLEM
Zambia Anti-Single Party,12.44%,TRUE,"1,000,001",248,1990,1990,1991,Zambia,"8,036,845",TRUE,chill
Anti-King Hamad Campaign,11.74%,FALSE,"150,000",255,2011,2011,2013,Bahrain,"1,278,151",TRUE,PROBLEM
Anti-Jaafar,11.62%,TRUE,"2,000,000",18,1985,1985,1985,Sudan,"17,210,187",TRUE,chill
Carnation Revolution,11.58%,TRUE,"1,000,001",52,1973,1973,1974,Portugal,"8,633,100",TRUE,chill
Albania Anti-Communist,9.29%,TRUE,"300,000",5,1989,1989,1991,Albania,"3,227,943",TRUE,chill
Anti-Ali Abdullah Saleh,8.40%,TRUE,"2,000,001",316,2011,2011,2012,Yemen,"23,807,588",TRUE,chill
Iranian Revolution,6.83%,TRUE,"2,000,000",104,1971,1971,1979,Iran,"29,281,591",TRUE,chill
Anti-Pinochet Movement,6.30%,TRUE,"750,000",26,1983,1983,1989,Chile,"11,907,960",TRUE,chill
Frente Nacionalæde Resistencia Popular (FNRP),6.13%,FALSE,"500,000",266,2009,2009,2011,Honduras,"8,150,775",TRUE,PROBLEM
Madagasar pro-democracy movement,5.96%,TRUE,"1,000,000",130,2002,2002,2002,Madagascar,"16,765,117",TRUE,chill
Nepalese Anti-government,5.37%,TRUE,"1,400,000",149,2006,2006,2006,Nepal,"26,066,693",TRUE,chill
Anti-Gayoom,4.96%,TRUE,"15,000",17,2003,2003,2008,Maldives,"302,683",TRUE,chill
Tongan Pro-Democracy Protests,4.96%,FALSE,"5,000",310,2005,2005,2006,Tonga,"100,905",TRUE,PROBLEM
Anti-Khan,4.54%,FALSE,"2,500,000",21,1968,1968,1969,Pakistan,"55,102,684",TRUE,PROBLEM
Brunei Revolt,4.47%,FALSE,"4,000",383,1962,1962,1962,Brunei,"89,481",TRUE,PROBLEM
Lebanon Political Crisis,4.20%,TRUE,"200,001",321,2006,2006,2008,Lebanon,"4,759,753",TRUE,chill
Royalists,4.02%,FALSE,"220,000",184,1962,1962,1969,Yemen Arab Republic,"5,473,671",TRUE,PROBLEM
People Power,3.89%,TRUE,"2,000,000",169,1983,1983,1986,Philippines,"51,408,912",TRUE,chill
Hizballah,3.84%,FALSE,"100,000",90,1982,1982,2000,Lebanon,"2,606,139",TRUE,PROBLEM
Anti-Milosevic,3.61%,TRUE,"275,000",23,1996,1996,2000,Serbia,"7,617,794",TRUE,chill
